onset	duration	trial_type	value	sample
6.148	1.0	Target	2	3074
6.272	1.0	NonTarget	1	3136
6.406	1.0	NonTarget	1	3203
6.54	1.0	NonTarget	1	3270
6.67	1.0	NonTarget	1	3335
6.802	1.0	NonTarget	1	3401
6.944	1.0	NonTarget	1	3472
7.078	1.0	Target	2	3539
7.208	1.0	NonTarget	1	3604
7.336	1.0	NonTarget	1	3668
7.46	1.0	Target	2	3730
7.584	1.0	NonTarget	1	3792
7.71	1.0	Target	2	3855
7.836	1.0	NonTarget	1	3918
7.974	1.0	NonTarget	1	3987
8.1	1.0	NonTarget	1	4050
8.224	1.0	Target	2	4112
8.368	1.0	NonTarget	1	4184
8.492	1.0	NonTarget	1	4246
8.62	1.0	NonTarget	1	4310
8.766	1.0	NonTarget	1	4383
8.898	1.0	Target	2	4449
9.04	1.0	NonTarget	1	4520
9.164	1.0	NonTarget	1	4582
9.29	1.0	NonTarget	1	4645
9.412	1.0	NonTarget	1	4706
9.538	1.0	NonTarget	1	4769
9.684	1.0	Target	2	4842
9.81	1.0	NonTarget	1	4905
9.934	1.0	Target	2	4967
10.074	1.0	NonTarget	1	5037
10.184	1.0	NonTarget	1	5092
10.31	1.0	NonTarget	1	5155
10.442	1.0	NonTarget	1	5221
10.568	1.0	NonTarget	1	5284
10.692	1.0	Target	2	5346
10.82	1.0	NonTarget	1	5410
10.944	1.0	NonTarget	1	5472
11.078	0.922	Target	2	5539
11.208	0.792	NonTarget	1	5604
